净值日期,单位净值,日增长率
2016-04-13,1.0,0.0
2016-04-15,1.0,0.0
2016-04-18,1.0032,0.32
2016-04-19,1.0046,0.1396
2016-04-20,1.0049,0.0299
2016-04-21,1.0071,0.2189
2016-04-22,1.0051,-0.1986
2016-04-25,1.0031,-0.199
2016-04-26,1.0022,-0.0897
2016-04-27,1.0063,0.4091
2016-04-28,1.0078,0.1491
2016-04-29,1.0168,0.893
2016-05-03,1.0257,0.8753
2016-05-04,1.0204,-0.5167
2016-05-05,1.0187,-0.1666
2016-05-06,1.0201,0.1374
2016-05-09,1.0197,-0.0392
2016-05-10,1.0148,-0.4805
2016-05-11,1.0172,0.2365
2016-05-12,1.0157,-0.1475
2016-05-13,1.0183,0.256
2016-05-16,1.0228,0.4419
2016-05-17,1.0192,-0.352
2016-05-18,1.0192,0.0
2016-05-19,1.0099,-0.9125
2016-05-20,1.01,0.0099
2016-05-23,1.0086,-0.1386
2016-05-24,1.0035,-0.5057
2016-05-25,0.9912,-1.2257
2016-05-26,0.9949,0.3733
2016-05-27,0.9895,-0.5428
2016-05-30,0.9799,-0.9702
2016-05-31,0.9855,0.5715
2016-06-01,0.9904,0.4972
2016-06-02,0.9893,-0.1111
2016-06-03,0.9872,-0.2123
2016-06-06,1.0051,1.8132
2016-06-07,1.0066,0.1492
2016-06-08,1.0143,0.765
2016-06-13,1.0377,2.307
2016-06-14,1.0368,-0.0867
2016-06-15,1.0414,0.4437
2016-06-16,1.0591,1.6996
2016-06-17,1.041,-1.709
2016-06-20,1.0384,-0.2498
2016-06-21,1.0372,-0.1156
2016-06-22,1.0261,-1.0702
2016-06-23,1.0273,0.1169
2016-06-24,1.0734,4.4875
2016-06-27,1.0781,0.4379
2016-06-28,1.0744,-0.3432
2016-06-29,1.0786,0.3909
2016-06-30,1.0748,-0.3523
2016-07-01,1.086,1.0421
2016-07-04,1.0992,1.2155
2016-07-05,1.0954,-0.3457
2016-07-06,1.1131,1.6158
2016-07-07,1.1146,0.1348
2016-07-08,1.1058,-0.7895
2016-07-11,1.1104,0.416
2016-07-12,1.1083,-0.1891
2016-07-13,1.098,-0.9294
2016-07-14,1.0917,-0.5738
2016-07-15,1.0904,-0.1191
2016-07-18,1.0877,-0.2476
2016-07-19,1.0903,0.239
